Num‚ro de noeud;X;Y
21457033;-1,0516296;44,7767717
21457036;-1,0508855;44,7768156
21459405;-0,5752225;44,8350216
21459406;-0,5749863;44,8350865
21459415;-0,5713117;44,8350279
21459428;-0,5654321;44,836994
21459431;-0,5652077;44,8368181
21459435;-0,563931;44,8355752
21459444;-0,558558;44,8316119
21459451;-0,5549314;44,8296021
21460266;-1,0095728;44,6791226
21460275;-0,9973607;44,6662378
21460333;-0,9573995;44,6376652
21460336;-0,9588492;44,6367235
21460339;-0,9612901;44,6341986
21460350;-0,9532523;44,6237839
21460358;-0,9423242;44,6079353
21460361;-0,9382845;44,605828
21461217;-1,1027395;44,6133344
21461239;-1,0732799;44,6197538
21461293;-1,0230037;44,6358721
21461298;-1,0210228;44,6351103
21461302;-1,0201169;44,6322732
21461307;-1,0182792;44,6301775
21461309;-1,0174417;44,6294319
21461345;-0,983153;44,6472997
21461369;-1,0121237;44,6806344
21462747;-0,5436277;45,2565504
21462774;-0,4930115;45,1923556
21462855;-0,4303039;45,0140483
21462856;-0,4287555;45,0106298
21462869;-0,4282533;44,983781
21462872;-0,4349419;44,9718808
21463078;-0,6742399;44,7637775
21463090;-0,7104675;44,7409069
21466004;-0,283663;44,8726108
21466141;-0,7961705;44,6779993
21466145;-0,8270246;44,6586914
21541399;-1,1492107;44,7823153
21541400;-1,1535117;44,7820855
21541405;-1,1684454;44,776253
21541418;-1,1811854;44,7467052
21541428;-1,196473;44,733757
21541442;-1,2124219;44,7166839
21541447;-1,2243898;44,7092578
21541462;-1,2347358;44,6944709
21541480;-1,2496152;44,6744639
21541493;-1,251899;44,6567599
21541500;-1,2513756;44,6525963
21541507;-1,2516364;44,6491746
21541530;-1,2542718;44,6387776
21541535;-1,2539787;44,6349422
21541543;-1,2508949;44,6287765
21541544;-1,2510028;44,628605
21541554;-1,2478469;44,6256073
21541556;-1,2486238;44,6279978
21541563;-1,2527982;44,6296253
21541564;-1,252668;44,6298814
21541670;-1,2461065;44,6868835
21541702;-1,2042431;44,7269448
25214067;-0,6220915;44,8768044
29556586;-0,7072453;44,8906112
29556610;-0,7091741;44,8917955
29556627;-0,7036274;44,873779
29556628;-0,7029723;44,8690231
29556629;-0,7029303;44,868807
29556633;-0,702359;44,8643657
29557156;-0,6072599;44,7900259
29557196;-0,6109421;44,7900119
29557221;-0,6766136;44,8357388
29557222;-0,6759931;44,8381741
29557224;-0,6645354;44,8546936
29557225;-0,6631305;44,856559
29557384;-0,6705612;44,8459378
29557385;-0,6607612;44,8590097
29557390;-0,6713149;44,844187
29557466;-0,6763034;44,8326907
29557480;-0,676374;44,8357965
29557667;-0,6757649;44,8288821
29557668;-0,6764298;44,8320619
29557670;-0,6702163;44,8468166
29557710;-0,6716701;44,8166676
29557760;-0,6664495;44,8066157
29557769;-0,6587026;44,8019228
29557775;-0,6669164;44,807051
29557780;-0,6619736;44,8046874
29557784;-0,6614338;44,8043701
29557786;-0,6585144;44,8021046
29558436;-0,6289366;44,7854858
29558811;-0,6030699;44,7890986
29558821;-0,6051074;44,7893585
29559158;-0,5649158;44,7779769
29559305;-0,5902685;44,7842392
29559340;-0,583462;44,7818408
29559348;-0,5808767;44,7811475
29559497;-0,581457;44,7814592
29559502;-0,5775717;44,7804933
29559504;-0,5755215;44,7799149
29559511;-0,5707639;44,7784652
29559524;-0,56969;44,7795134
29559959;-0,7042905;44,8883613
29559961;-0,7072519;44,8904731
29559962;-0,7074698;44,8906267
29560018;-0,5558113;44,7727156
29560263;-0,7027963;44,8689102
29560535;-0,7030969;44,8688826
29560920;-0,7042058;44,8881581
29560928;-0,7038933;44,8751405
29560929;-0,7038569;44,8749845
29560930;-0,7036922;44,8740228
29560935;-0,7034818;44,8739199
29561134;-0,7046185;44,8829782
29561225;-0,6972088;44,8813634
29561264;-0,6972115;44,8811569
29561271;-0,6961271;44,8744467
29562336;-0,703938;44,8882523
29562606;-0,7038271;44,8738822
29562777;-0,7043025;44,8882232
29563123;-0,7075165;44,890517
29563125;-0,7098565;44,8907845
29563126;-0,7114642;44,8912036
29563168;-0,7378926;44,8829536
29563176;-0,709775;44,8961626
29563307;-0,7025112;44,8640312
29563308;-0,7022202;44,8637522
29563309;-0,7027275;44,8639577
29563316;-0,6959912;44,8614412
29563317;-0,6958875;44,8616065
29563318;-0,6960151;44,8618654
29563352;-0,6800965;44,8581892
29563450;-0,676395;44,8586064
29563465;-0,677027;44,8582607
29563614;-0,6774771;44,8586487
29563814;-0,6643067;44,8545849
29563995;-0,6732258;44,8431351
29563997;-0,6729616;44,8435517
29564001;-0,6726271;44,8440071
29564311;-0,6919063;44,847178
29564312;-0,6920475;44,8474082
29564405;-0,6923105;44,8347842
29564422;-0,6922366;44,8349914
29564487;-0,6918527;44,8346512
29564490;-0,6918103;44,8350087
29564512;-0,6910202;44,8348086
29564548;-0,6920763;44,8340423
29564556;-0,6917631;44,8340489
29564584;-0,6874338;44,8355026
29564606;-0,6922897;44,8339212
29564608;-0,6920784;44,833432
29564610;-0,6916001;44,833491
29564688;-0,6924666;44,8330827
29564807;-0,6780506;44,8333271
