Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
0;36130746;648626013;1;5,303102;4800;120
1;36130744;36130746;1;0,687775;4800;120
2;276335333;36130746;1;0,789359;4800;120
3;36133363;355284662;1;10,060329;4800;120
4;36133365;36133363;1;0,671285;4800;120
5;276335333;36133363;1;0,446137;4800;120
6;36133365;276335948;1;0,485425;4800;70
7;648626011;36133365;1;4,943983;4800;120
8;293921932;258598992;1;0,055981;3000;120
9;258598992;293921932;1;0,055981;3000;120
10;1522440164;258598992;1;0,089928;3000;120
11;258598992;1522440164;1;0,089928;3000;120
12;1143005860;276327733;1;0,049826;3000;120
13;276327733;1143005860;1;0,049826;3000;120
14;1116345735;276327733;1;0,163289;3000;120
15;276327733;1116345735;1;0,163289;3000;120
16;1143005921;276327733;1;0,082356;3000;120
17;1722382115;276327734;1;1,648794;3000;120
18;276327734;1722382115;1;1,648794;3000;120
19;276327734;1143005921;1;0,148419;3000;120
20;1143005860;276327734;1;0,103798;3000;120
21;276327734;1143005860;1;0,103798;3000;120
22;276329254;616655485;1;0,020043;3000;120
23;7580961759;276329254;1;0,004403;3000;120
24;276329260;7580961762;1;0,03013;3000;120
25;276329261;276329260;1;0,01261;3000;120
26;276329262;276329261;1;0,009889;3000;120
27;276329265;276329262;1;0,033626;3000;120
28;276329516;276329262;1;0,205083;3000;120
29;276329265;276329516;1;0,208755;3000;120
30;616655485;276329265;1;0,006185;3000;120
31;276329599;276329516;1;0,592029;3000;120
32;276329516;276329599;1;0,592029;3000;120
33;276329599;276329731;1;0,133266;3000;120
34;276329741;276329599;1;0,136304;3000;120
35;276329731;820326578;1;0,009706;3000;120
36;276329741;276329731;1;0,03088;3000;120
37;276329733;276329906;1;0,158314;3000;120
38;276329733;276329736;1;0,025644;3000;120
39;820326580;276329733;1;0,02115;3000;120
40;276329736;773386616;1;0,012618;3000;120
41;276329906;276329736;1;0,15741;3000;120
42;3472677942;276329741;1;0,015737;3000;120
43;825220798;276329906;1;0,195296;3000;120
44;276329906;825220798;1;0,195296;3000;120
45;7635726047;276330481;1;0,33457;3000;120
46;276330481;7635726047;1;0,33457;3000;120
47;1523402300;276330481;1;0,308447;3000;120
48;276330481;1523402300;1;0,308447;3000;120
49;276331046;7616534179;1;0,050342;3000;120
50;1375768793;276331046;1;0,546179;3000;120
51;276331046;1375768793;1;0,546179;3000;120
52;1697654658;276331046;1;0,0499;3000;120
53;276333655;583358042;1;0,737717;3000;120
54;4613645483;276333655;1;0,670502;3000;120
55;276334018;583357077;1;0,736711;3000;120
56;276333665;276334018;1;0,336112;3000;70
57;1891439684;278911405;3;0,766003;2000;80
58;278911405;1891439684;3;0,766003;2000;80
59;278911407;278911405;3;0,046617;2000;70
60;278911405;278911407;3;0,046617;2000;70
61;1626516241;278911405;3;0,230232;2000;30
62;278911405;1626516241;3;0,230232;2000;30
63;1638042153;278911407;3;0,790042;2000;70
64;278911407;1638042153;3;0,790042;2000;70
65;279090633;279090631;3;1,759264;2000;70
66;279090631;279090633;3;1,759264;2000;70
67;7674655443;279090631;3;0,018216;2000;70
68;279090631;7674655443;3;0,018216;2000;70
69;7674655448;279090631;3;0,041439;2000;70
70;1867293479;279090633;3;0,017703;2000;70
71;279090633;1867293479;3;0,017703;2000;70
72;279090633;1867293474;3;0,029478;2000;70
73;1867293973;279090638;3;0,03727;2000;70
74;279090638;1867293973;3;0,03727;2000;70
75;1867293981;279090638;3;0,045406;2000;70
76;279090638;1867293981;3;0,045406;2000;70
77;1867293904;279090638;3;0,037225;2000;70
78;279090638;1867293904;3;0,037225;2000;70
79;1867294014;279090639;3;0,060905;2000;70
80;279090639;1867294014;3;0,060905;2000;70
81;1867293981;279090639;3;0,031091;2000;70
82;279090639;1867293981;3;0,031091;2000;70
83;1867294063;279090640;3;0,019101;2000;70
84;279090640;1867294063;3;0,019101;2000;70
85;1867294058;279090640;3;0,020746;2000;70
86;279090640;1867294058;3;0,020746;2000;70
87;279090641;279090640;3;0,027225;2000;70
88;279090640;279090641;3;0,027225;2000;70
89;279090640;1867294088;3;0,11076;2000;70
90;1867294168;279090641;3;0,224106;2000;70
91;279090641;1867294168;3;0,224106;2000;70
92;1867293973;279090661;3;0,066145;2000;70
93;279090661;1867293973;3;0,066145;2000;70
94;1867293997;279090661;3;0,01271;2000;70
95;279090661;1867293997;3;0,01271;2000;70
96;1867294031;279090692;3;0,111254;2000;70
97;279090692;1867294031;3;0,111254;2000;70
98;1867294024;279090692;3;0,098311;2000;70
99;279090692;1867294024;3;0,098311;2000;70
100;279090695;6535796539;3;0,023659;2000;70
101;1113596068;279090695;3;0,16537;2000;70
102;279090695;1113596068;3;0,16537;2000;70
103;1867294032;279090695;3;0,019252;2000;70
104;2952321192;279090702;3;3,236524;2000;70
105;279090702;2952321192;3;3,236524;2000;70
106;1802232616;279090702;3;0,316977;2000;70
107;279090702;1802232616;3;0,316977;2000;70
108;3773577882;279090709;3;0,013569;2000;70
109;279090709;3773577882;3;0,013569;2000;70
110;2952321192;279090709;3;0,629285;2000;70
111;279090709;2952321192;3;0,629285;2000;70
112;7674655443;279091209;3;5,412769;2000;70
113;279091209;7674655443;3;5,412769;2000;70
114;564732916;279092372;3;0,138944;2000;70
115;279092372;564732916;3;0,138944;2000;70
116;6223117304;279092372;3;0,070053;2000;70
117;279092372;6223117304;3;0,070053;2000;70
118;1871827306;279092372;3;0,226862;2000;30
119;279092372;1871827306;3;0,226862;2000;30
120;1871827367;279092372;3;0,069035;2000;70
121;279092372;1871827367;3;0,069035;2000;70
122;1871827306;279092374;3;0,007959;2000;70
123;279092374;1871827306;3;0,007959;2000;70
124;6216052079;279092374;3;0,102845;2000;70
125;279092374;6216052079;3;0,102845;2000;70
126;7549219204;279092375;3;0,168258;2000;70
127;279092375;7549219204;3;0,168258;2000;70
128;7549202132;279092375;3;0,034637;2000;70
129;279092375;7549202132;3;0,034637;2000;70
130;279092377;1871333842;3;0,024393;2000;70
131;1871333772;279092377;3;0,175221;2000;70
132;279092377;1871333772;3;0,175221;2000;70
133;1871333837;279092377;3;0,023342;2000;70
134;279093266;676797584;3;0,068006;2000;70
135;4353095786;279093266;3;0,169063;2000;70
136;279093266;4353095786;3;0,169063;2000;70
137;676797617;279093266;3;0,054589;2000;70
138;279093268;676797592;3;0,035163;2000;70
139;676797584;279093268;3;0,012379;2000;70
140;821527983;279093274;3;0,076917;2000;70
141;279093274;821527983;3;0,076917;2000;70
